locus_tag	ftype	length_bp	gene	EC_number	COG	product
prokka_05516	CDS	1185	bcr_31			Bicyclomycin resistance protein
prokka_05517	CDS	1206	bcr_32			Bicyclomycin resistance protein
prokka_05518	CDS	207				hypothetical protein
prokka_05519	CDS	426	cesA_2			Multidomain esterase
prokka_05520	CDS	957	drrA_16	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05521	CDS	807	drrB_14			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05522	CDS	564				hypothetical protein
prokka_05523	CDS	132				hypothetical protein
prokka_05524	CDS	150				hypothetical protein
prokka_05525	CDS	549				hypothetical protein
prokka_05526	CDS	714				hypothetical protein
prokka_05527	CDS	267				hypothetical protein
prokka_05528	CDS	897				hypothetical protein
prokka_05529	CDS	531				hypothetical protein
prokka_05530	CDS	1248	tetA_36			Tetracycline resistance protein, class C
prokka_05531	CDS	462				hypothetical protein
prokka_05532	CDS	198				hypothetical protein
prokka_05533	CDS	357	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
prokka_05534	CDS	1347				hypothetical protein
prokka_05535	CDS	225				hypothetical protein
prokka_05536	CDS	309				hypothetical protein
prokka_05537	CDS	1614	bmr3_12			Multidrug resistance protein 3
prokka_05538	CDS	795	thyA2_59	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05539	CDS	501				IS1595 family transposase ISSsu9
prokka_05540	CDS	441	dut_28	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
prokka_05541	CDS	1164				hypothetical protein
prokka_05542	CDS	849	thyA2_60	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05543	CDS	672	thyA2_61	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05544	CDS	528	dhfrIII_82	1.5.1.3		Dihydrofolate reductase type 3
prokka_05545	CDS	489	bcp_11	1.11.1.15	COG1225	Putative peroxiredoxin bcp
prokka_05546	CDS	1161	crtY	5.5.1.19		Lycopene beta-cyclase
prokka_05547	CDS	351				hypothetical protein
prokka_05548	CDS	225				hypothetical protein
prokka_05549	CDS	963				hypothetical protein
prokka_05550	CDS	975	drrA_17	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05551	CDS	810	drrB_15			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05552	CDS	270				hypothetical protein
prokka_05553	CDS	429				hypothetical protein
prokka_05554	CDS	795	thyA2_62	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05555	CDS	384				hypothetical protein
prokka_05556	CDS	237	thyA_128	2.1.1.45	COG0207	Thymidylate synthase
prokka_05557	CDS	480				IS1595 family transposase ISSsu9
prokka_05558	CDS	1179				hypothetical protein
prokka_05559	CDS	777	thyA2_63	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05560	CDS	495				IS1595 family transposase ISSsu9
prokka_05561	CDS	441	dut_29	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
prokka_05562	CDS	465				hypothetical protein
prokka_05563	CDS	489	dhfrIII_83	1.5.1.3		Dihydrofolate reductase type 3
prokka_05564	CDS	540				hypothetical protein
prokka_05565	CDS	456				hypothetical protein
prokka_05566	CDS	774	pdxJ_9	2.6.99.2		Pyridoxine 5'-phosphate synthase
prokka_05567	CDS	525				hypothetical protein
prokka_05568	CDS	609				hypothetical protein
prokka_05569	CDS	630	ddl_57	6.3.2.4		D-alanine--D-alanine ligase
prokka_05570	CDS	783	rocF_10	3.5.3.1		Arginase
prokka_05571	CDS	288				hypothetical protein
prokka_05572	CDS	1650	rpoD_16			RNA polymerase sigma factor RpoD
prokka_05573	CDS	375				hypothetical protein
prokka_05574	CDS	396				hypothetical protein
prokka_05575	CDS	564				hypothetical protein
prokka_05576	CDS	492	dhfR_22	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05577	CDS	651	namA_3	1.6.99.1	COG1902	NADPH dehydrogenase
prokka_05578	CDS	384				hypothetical protein
prokka_05579	CDS	726				hypothetical protein
prokka_05580	CDS	912	araD	4.2.1.43		L-2-keto-3-deoxyarabonate dehydratase
prokka_05581	CDS	822				hypothetical protein
prokka_05582	CDS	183				hypothetical protein
prokka_05583	CDS	234				hypothetical protein
prokka_05584	CDS	1161	dapX_10	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
prokka_05585	CDS	756	iolE_1	4.2.1.44		Inosose dehydratase
prokka_05586	CDS	519				hypothetical protein
prokka_05587	CDS	366				hypothetical protein
prokka_05588	CDS	840				hypothetical protein
prokka_05589	CDS	1056	htpG		COG0326	Chaperone protein HtpG
prokka_05590	CDS	684	norG_3		COG1167	HTH-type transcriptional regulator NorG
prokka_05591	CDS	795	thyA2_64	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05592	CDS	501				IS1595 family transposase ISSsu9
prokka_05593	CDS	867				hypothetical protein
prokka_05594	CDS	534	dhfrIII_84	1.5.1.3		Dihydrofolate reductase type 3
prokka_05595	CDS	393	fmt_13	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
prokka_05596	CDS	351	folB_3	4.1.2.25	COG1539	Dihydroneopterin aldolase
prokka_05597	CDS	495	dhfrIII_85	1.5.1.3		Dihydrofolate reductase type 3
prokka_05598	CDS	828	thyA_129	2.1.1.45	COG0207	Thymidylate synthase
prokka_05599	CDS	246				hypothetical protein
prokka_05600	CDS	162				hypothetical protein
prokka_05601	CDS	534	grm_8	2.1.1.179		16S rRNA (guanine(1405)-N(7))-methyltransferase
prokka_05602	CDS	480	dfa1_2	1.-.-.-		Diflavin flavoprotein A 1
prokka_05603	CDS	534				hypothetical protein
prokka_05604	CDS	849	yokD_2	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
prokka_05605	CDS	201				hypothetical protein
prokka_05606	CDS	186				hypothetical protein
prokka_05607	CDS	1095	recA_4			Protein RecA
prokka_05608	CDS	1074				hypothetical protein
prokka_05609	CDS	681	recX_1			Regulatory protein RecX
prokka_05610	CDS	618				hypothetical protein
prokka_05611	CDS	762	fabG_16	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
prokka_05612	CDS	495	dhfrIII_86	1.5.1.3		Dihydrofolate reductase type 3
prokka_05613	CDS	147				hypothetical protein
prokka_05614	CDS	633	inhA_10	4.2.1.103		Isonitrile hydratase
prokka_05615	CDS	222				hypothetical protein
prokka_05616	CDS	639				hypothetical protein
prokka_05617	CDS	591	eamB_1		COG1280	Cysteine/O-acetylserine efflux protein
prokka_05618	CDS	981	ilvA_1	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
prokka_05619	CDS	165				hypothetical protein
prokka_05620	CDS	852	ftsQ_18			Cell division protein FtsQ
prokka_05621	CDS	930	ddlB_34	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
prokka_05622	CDS	564				hypothetical protein
prokka_05623	CDS	165				hypothetical protein
prokka_05624	CDS	480	sigA_6		COG0568	RNA polymerase sigma factor SigA
prokka_05625	CDS	1134	rpoD_17			RNA polymerase sigma factor RpoD
prokka_05626	CDS	312				hypothetical protein
prokka_05627	CDS	429				hypothetical protein
prokka_05628	CDS	279				hypothetical protein
prokka_05629	CDS	198				hypothetical protein
prokka_05630	CDS	546				hypothetical protein
prokka_05631	CDS	474				hypothetical protein
prokka_05632	CDS	690				hypothetical protein
prokka_05633	CDS	252				hypothetical protein
prokka_05634	CDS	819	drrB_16			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05635	CDS	375	thyA_130	2.1.1.45	COG0207	Thymidylate synthase
prokka_05636	CDS	477				IS1595 family transposase ISSsu9
prokka_05637	CDS	576				hypothetical protein
prokka_05638	CDS	1251	pbuE_1		COG2814	Purine efflux pump PbuE
prokka_05639	CDS	261				hypothetical protein
prokka_05640	CDS	180				hypothetical protein
prokka_05641	CDS	498	slyA_1			Transcriptional regulator SlyA
prokka_05642	CDS	258				hypothetical protein
prokka_05643	CDS	477	folA_84	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05644	CDS	315	apbC_5		COG0489	Iron-sulfur cluster carrier protein
prokka_05645	CDS	375	DNPH1_2	3.2.2.-		2'-deoxynucleoside 5'-phosphate N-hydrolase 1
prokka_05646	CDS	471				hypothetical protein
prokka_05647	CDS	993	thyA_131	2.1.1.45	COG0207	Thymidylate synthase
prokka_05648	CDS	342				hypothetical protein
prokka_05649	CDS	945	blaZ_1	3.5.2.6		Beta-lactamase 3
prokka_05650	CDS	135				hypothetical protein
prokka_05651	CDS	897	ampR_6			HTH-type transcriptional activator AmpR
prokka_05652	CDS	816	bla_42	3.5.2.6		Beta-lactamase OXA-18
prokka_05653	CDS	204				hypothetical protein
prokka_05654	CDS	954				hypothetical protein
prokka_05655	CDS	789	fabG_17	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
prokka_05656	CDS	357				hypothetical protein
prokka_05657	CDS	1200	tetA_37			Tetracycline resistance protein, class C
prokka_05658	CDS	204				hypothetical protein
prokka_05659	CDS	186				hypothetical protein
prokka_05660	CDS	432				hypothetical protein
prokka_05661	CDS	129				hypothetical protein
prokka_05662	CDS	138				hypothetical protein
prokka_05663	CDS	189				hypothetical protein
prokka_05664	CDS	501	folA_85	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05665	CDS	972				hypothetical protein
prokka_05666	CDS	165				hypothetical protein
prokka_05667	CDS	1029	pyk_2	2.7.1.40	COG0469	Pyruvate kinase
prokka_05668	CDS	498	dfrA_68	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05669	CDS	408	dfrA_69	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05670	CDS	501	dhfrIII_87	1.5.1.3		Dihydrofolate reductase type 3
prokka_05671	CDS	375	thyA_132	2.1.1.45	COG0207	Thymidylate synthase
prokka_05672	CDS	447				hypothetical protein
prokka_05673	CDS	504	folA_86	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05674	CDS	270				hypothetical protein
prokka_05675	CDS	921	thyA_133	2.1.1.45	COG0207	Thymidylate synthase
prokka_05676	CDS	633				hypothetical protein
prokka_05677	CDS	483	dfrD_14	1.5.1.3		Dihydrofolate reductase
prokka_05678	CDS	195				hypothetical protein
prokka_05679	CDS	237				hypothetical protein
prokka_05680	CDS	495				IS1595 family transposase ISSsu9
prokka_05681	CDS	219				hypothetical protein
prokka_05682	CDS	795	thyA_134	2.1.1.45	COG0207	Thymidylate synthase
prokka_05683	CDS	771	lgt_3	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
prokka_05684	CDS	519	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
prokka_05685	CDS	552				hypothetical protein
prokka_05686	CDS	480				IS1595 family transposase ISSsu9
prokka_05687	CDS	1041	thyA_135	2.1.1.45	COG0207	Thymidylate synthase
prokka_05688	CDS	171				hypothetical protein
prokka_05689	CDS	519	dfrD_15	1.5.1.3		Dihydrofolate reductase
prokka_05690	CDS	1164				hypothetical protein
prokka_05691	CDS	540				hypothetical protein
prokka_05692	CDS	363				hypothetical protein
prokka_05693	CDS	495	folA_87	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05694	CDS	462	dfrA_70	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05695	CDS	207				hypothetical protein
prokka_05696	CDS	543				hypothetical protein
prokka_05697	CDS	375	dhfrIII_88	1.5.1.3		Dihydrofolate reductase type 3
prokka_05698	CDS	351	tetA_38			Tetracycline resistance protein, class C
prokka_05699	CDS	792		3.5.2.6		Metallo-beta-lactamase L1 type 3
prokka_05700	CDS	2010				hypothetical protein
prokka_05701	CDS	798	ligD_2		COG1793	Multifunctional non-homologous end joining protein LigD
prokka_05702	CDS	894		3.5.2.6		Beta-lactamase
prokka_05703	CDS	405				hypothetical protein
prokka_05704	CDS	420				hypothetical protein
prokka_05705	CDS	678	bcr_33			Bicyclomycin resistance protein
prokka_05706	CDS	252				hypothetical protein
prokka_05707	CDS	330	cat_13	2.3.1.28		Chloramphenicol acetyltransferase
prokka_05708	CDS	318	cat_14	2.3.1.28		Chloramphenicol acetyltransferase
prokka_05709	CDS	513				hypothetical protein
prokka_05710	CDS	198				hypothetical protein
prokka_05711	CDS	201				hypothetical protein
prokka_05712	CDS	93				hypothetical protein
prokka_05713	CDS	303				hypothetical protein
prokka_05714	CDS	357	cat_15	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
prokka_05715	CDS	147				hypothetical protein
prokka_05716	CDS	369				hypothetical protein
prokka_05717	CDS	336				hypothetical protein
prokka_05718	CDS	1164	bcr_34			Bicyclomycin resistance protein
prokka_05719	CDS	387				hypothetical protein
prokka_05720	CDS	207				hypothetical protein
prokka_05721	CDS	516				IS1595 family transposase ISSsu9
prokka_05722	CDS	345				hypothetical protein
prokka_05723	CDS	885				hypothetical protein
prokka_05724	CDS	168				hypothetical protein
prokka_05725	CDS	504	dfrA_71	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05726	CDS	792	hcaB_3	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
prokka_05727	CDS	606				hypothetical protein
prokka_05728	CDS	501	tadA_3	3.5.4.33		tRNA-specific adenosine deaminase
prokka_05729	CDS	384	folA_88	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05730	CDS	615	bla_43	3.5.2.6		Beta-lactamase OXA-18
prokka_05731	CDS	531	folA_89	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05732	CDS	273				hypothetical protein
prokka_05733	CDS	1020				hypothetical protein
prokka_05734	CDS	486	dfrA_72	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05735	CDS	921	thyA_136	2.1.1.45	COG0207	Thymidylate synthase
prokka_05736	CDS	474	tmk_13	2.7.4.9	COG0125	Thymidylate kinase
prokka_05737	CDS	297				hypothetical protein
prokka_05738	CDS	750				hypothetical protein
prokka_05739	CDS	342	thyA2_65	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05740	CDS	453	thyA2_66	2.1.1.45	COG0207	Thymidylate synthase 2
prokka_05741	CDS	354				hypothetical protein
prokka_05742	CDS	489	dhfrIII_89	1.5.1.3		Dihydrofolate reductase type 3
prokka_05743	CDS	807	drrB_17			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05744	CDS	966	drrA_18	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05745	CDS	813				hypothetical protein
prokka_05746	CDS	537				hypothetical protein
prokka_05747	CDS	465				hypothetical protein
prokka_05748	CDS	345				hypothetical protein
prokka_05749	CDS	729		3.5.2.6		Metallo-beta-lactamase type 2
prokka_05750	CDS	981				hypothetical protein
prokka_05751	CDS	1716	araC_2	4.2.1.25		L-arabonate dehydratase
prokka_05752	CDS	369				hypothetical protein
prokka_05753	CDS	318				hypothetical protein
prokka_05754	CDS	477				hypothetical protein
prokka_05755	CDS	738	ccrA_10	3.5.2.6		Metallo-beta-lactamase type 2
prokka_05756	CDS	369				hypothetical protein
prokka_05757	CDS	126				hypothetical protein
prokka_05758	CDS	774	cmpD	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
prokka_05759	CDS	816	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
prokka_05760	CDS	1041				hypothetical protein
prokka_05761	CDS	1041	sdgD_1	1.13.11.4		Gentisate 1,2-dioxygenase
prokka_05762	CDS	726	nagR_1		COG2188	HTH-type transcriptional repressor NagR
prokka_05763	CDS	873	blaP_1	3.5.2.6		Beta-lactamase
prokka_05764	CDS	249				hypothetical protein
prokka_05765	CDS	213				hypothetical protein
prokka_05766	CDS	294				hypothetical protein
prokka_05767	CDS	1209				hypothetical protein
prokka_05768	CDS	891	per1_90	3.5.2.6		Extended-spectrum beta-lactamase PER-1
prokka_05769	CDS	621	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
prokka_05770	CDS	354				hypothetical protein
prokka_05771	CDS	825		3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
prokka_05772	CDS	339	soj_4	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
prokka_05773	CDS	723				hypothetical protein
prokka_05774	CDS	627	hsrA_1			putative transport protein HsrA
prokka_05775	CDS	408				hypothetical protein
prokka_05776	CDS	729				hypothetical protein
prokka_05777	CDS	171	rpmG2_2		COG0267	50S ribosomal protein L33 2
prokka_05778	tRNA	76				tRNA-Met(cat)
prokka_05779	tRNA	74				tRNA-Thr(ggt)
prokka_05780	CDS	1416	stp_2			Multidrug resistance protein Stp
prokka_05781	CDS	453				hypothetical protein
prokka_05782	tRNA	76				tRNA-Trp(cca)
prokka_05783	CDS	963	drrA_19	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05784	CDS	810	drrB_18			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05785	CDS	438				hypothetical protein
prokka_05786	CDS	1065	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
prokka_05787	CDS	1308				hypothetical protein
prokka_05788	CDS	288				hypothetical protein
prokka_05789	CDS	816	bla_44	3.5.2.6		Beta-lactamase OXA-10
prokka_05790	CDS	564				hypothetical protein
prokka_05791	CDS	399	folA_90	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05792	CDS	333				hypothetical protein
prokka_05793	CDS	684				hypothetical protein
prokka_05794	CDS	642				hypothetical protein
prokka_05795	CDS	534				IS1595 family transposase ISSsu9
prokka_05796	CDS	222				hypothetical protein
prokka_05797	CDS	369				hypothetical protein
prokka_05798	CDS	423	rplK_5		COG0080	50S ribosomal protein L11
prokka_05799	CDS	513	folA_91	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05800	CDS	507	folA_92	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05801	CDS	837	thyA_137	2.1.1.45	COG0207	Thymidylate synthase
prokka_05802	CDS	507				hypothetical protein
prokka_05803	CDS	399	drrA_20	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05804	CDS	579	drrA_21	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05805	CDS	840	drrB_19			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05806	CDS	519				hypothetical protein
prokka_05807	CDS	219				hypothetical protein
prokka_05808	CDS	519				IS1595 family transposase ISSsu9
prokka_05809	CDS	207				hypothetical protein
prokka_05810	CDS	231				hypothetical protein
prokka_05811	CDS	135				hypothetical protein
prokka_05812	CDS	897	ampR_7			HTH-type transcriptional activator AmpR
prokka_05813	CDS	816	bla_45	3.5.2.6		Beta-lactamase OXA-18
prokka_05814	CDS	204				hypothetical protein
prokka_05815	CDS	564				hypothetical protein
prokka_05816	CDS	705	bla_46	3.5.2.6		Beta-lactamase OXA-10
prokka_05817	CDS	270				hypothetical protein
prokka_05818	CDS	711				hypothetical protein
prokka_05819	CDS	837				hypothetical protein
prokka_05820	CDS	918				hypothetical protein
prokka_05821	CDS	810	drrB_20			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05822	CDS	873	drrA_22	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05823	CDS	552	drrA_23	3.6.3.-	COG1131	Doxorubicin resistance ATP-binding protein DrrA
prokka_05824	CDS	603				hypothetical protein
prokka_05825	CDS	387				hypothetical protein
prokka_05826	CDS	420				hypothetical protein
prokka_05827	CDS	225				hypothetical protein
prokka_05828	CDS	198				hypothetical protein
prokka_05829	CDS	507				hypothetical protein
prokka_05830	CDS	1206	bcr_35			Bicyclomycin resistance protein
prokka_05831	CDS	249				hypothetical protein
prokka_05832	CDS	636	glsA_2	3.5.1.2	COG2066	Thermolabile glutaminase
prokka_05833	CDS	576				hypothetical protein
prokka_05834	CDS	252	marA_8			Multiple antibiotic resistance protein MarA
prokka_05835	CDS	216				hypothetical protein
prokka_05836	CDS	999	eamA_7		COG0697	putative amino-acid metabolite efflux pump
prokka_05837	CDS	1194	mdrP_3			Na(+), Li(+), K(+)/H(+) antiporter
prokka_05838	CDS	330	hcpA_1		COG3157	Major exported protein
prokka_05839	CDS	711				hypothetical protein
prokka_05840	CDS	894	blaZ_2	3.5.2.6		Beta-lactamase 3
prokka_05841	CDS	459				hypothetical protein
prokka_05842	CDS	723	rpoB_2	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
prokka_05843	CDS	495	dhfrIII_90	1.5.1.3		Dihydrofolate reductase type 3
prokka_05844	CDS	210				hypothetical protein
prokka_05845	CDS	528				IS1595 family transposase ISSsu9
prokka_05846	CDS	795	thyA_138	2.1.1.45	COG0207	Thymidylate synthase
prokka_05847	tmRNA	348	ssrA			transfer-messenger RNA, SsrA
prokka_05848	CDS	255				hypothetical protein
prokka_05849	CDS	741	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
prokka_05850	CDS	765	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
prokka_05851	CDS	465				hypothetical protein
prokka_05852	CDS	1059		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
prokka_05853	CDS	519				IS1595 family transposase ISSsu9
prokka_05854	CDS	1287	ctcP	1.14.19.49		Tetracycline 7-halogenase
prokka_05855	CDS	183				hypothetical protein
prokka_05856	CDS	387	thyA_139	2.1.1.45	COG0207	Thymidylate synthase ThyA
prokka_05857	tRNA	77				tRNA-Asp(gtc)
prokka_05858	tRNA	76				tRNA-Val(tac)
prokka_05859	CDS	273	hupB_4		COG0776	DNA-binding protein HRm
prokka_05860	CDS	1200	tetA_39			Tetracycline resistance protein, class C
prokka_05861	CDS	369				hypothetical protein
prokka_05862	CDS	1065	rsgA_2	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
prokka_05863	CDS	438				hypothetical protein
prokka_05864	CDS	810	drrB_21			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05865	CDS	963	drrA_24	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05866	CDS	531				hypothetical protein
prokka_05867	CDS	402				hypothetical protein
prokka_05868	CDS	813				hypothetical protein
prokka_05869	CDS	174				hypothetical protein
prokka_05870	CDS	1185	tetA_40			Tetracycline resistance protein, class C
prokka_05871	CDS	1017				hypothetical protein
prokka_05872	CDS	258				hypothetical protein
prokka_05873	CDS	252				hypothetical protein
prokka_05874	CDS	552				hypothetical protein
prokka_05875	CDS	1251	entS_8		COG0477	Enterobactin exporter EntS
prokka_05876	CDS	510				hypothetical protein
prokka_05877	CDS	747	lipO		COG1653	Lipoprotein LipO
prokka_05878	CDS	825	iolE_2	4.2.1.44		Inosose dehydratase
prokka_05879	CDS	1059	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
prokka_05880	CDS	657	cat_16	2.3.1.28		Chloramphenicol acetyltransferase
prokka_05881	CDS	1221	bcr_36			Bicyclomycin resistance protein
prokka_05882	CDS	432				hypothetical protein
prokka_05883	CDS	684				hypothetical protein
prokka_05884	CDS	417				hypothetical protein
prokka_05885	CDS	225				hypothetical protein
prokka_05886	CDS	525	caaA	1.9.3.1	COG0843	Cytochrome c oxidase polypeptide I+III
prokka_05887	CDS	549	dapX_11	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
prokka_05888	CDS	516	dapX_12	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
prokka_05889	CDS	1212	bcr_37			Bicyclomycin resistance protein
prokka_05890	CDS	207				hypothetical protein
prokka_05891	CDS	1173	ydhP_1		COG2814	Inner membrane transport protein YdhP
prokka_05892	CDS	759	fabG_18	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
prokka_05893	CDS	666				hypothetical protein
prokka_05894	CDS	1455	murC_9	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
prokka_05895	CDS	960	ddl_58	6.3.2.4	COG1181	D-alanine--D-alanine ligase
prokka_05896	CDS	867	ftsQ_19			Cell division protein FtsQ
prokka_05897	CDS	687				hypothetical protein
prokka_05898	CDS	102				hypothetical protein
prokka_05899	CDS	1305	gdhA_1	1.4.1.3	COG0334	Glutamate dehydrogenase
prokka_05900	CDS	255				hypothetical protein
prokka_05901	CDS	1257	atoC_2		COG2204	Regulatory protein AtoC
prokka_05902	CDS	126				hypothetical protein
prokka_05903	CDS	255				hypothetical protein
prokka_05904	CDS	822	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
prokka_05905	CDS	615				hypothetical protein
prokka_05906	CDS	756	nagR_2		COG2188	HTH-type transcriptional repressor NagR
prokka_05907	CDS	432				hypothetical protein
prokka_05908	CDS	1101	ftsQ_20			Cell division protein FtsQ
prokka_05909	CDS	216				hypothetical protein
prokka_05910	CDS	204				hypothetical protein
prokka_05911	CDS	465	tadA_4	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
prokka_05912	CDS	861				hypothetical protein
prokka_05913	CDS	606				hypothetical protein
prokka_05914	CDS	663	stp_3			Multidrug resistance protein Stp
prokka_05915	CDS	354				hypothetical protein
prokka_05916	CDS	987				hypothetical protein
prokka_05917	CDS	534	folA_93	1.5.1.3	COG0262	Dihydrofolate reductase
prokka_05918	CDS	348		3.5.2.6		Metallo-beta-lactamase L1 type 3
prokka_05919	CDS	423				hypothetical protein
prokka_05920	CDS	2010				hypothetical protein
prokka_05921	CDS	1164	ampC_108	3.5.2.6		Beta-lactamase
prokka_05922	CDS	585				hypothetical protein
prokka_05923	CDS	702				hypothetical protein
prokka_05924	CDS	483				IS1595 family transposase ISSsu9
prokka_05925	CDS	795	thyA_140	2.1.1.45	COG0207	Thymidylate synthase
prokka_05926	CDS	945	ddlB_35	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
prokka_05927	CDS	1461	murB_29	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
prokka_05928	CDS	168	ku_1			Non-homologous end joining protein Ku
prokka_05929	CDS	339				hypothetical protein
prokka_05930	CDS	438				hypothetical protein
prokka_05931	CDS	618				hypothetical protein
prokka_05932	CDS	651				hypothetical protein
prokka_05933	CDS	618				hypothetical protein
prokka_05934	CDS	981				hypothetical protein
prokka_05935	CDS	723				hypothetical protein
prokka_05936	CDS	588				hypothetical protein
prokka_05937	CDS	414				hypothetical protein
prokka_05938	CDS	720	wbbL_1	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
prokka_05939	CDS	1239	cobN_1	6.6.1.2		Aerobic cobaltochelatase subunit CobN
prokka_05940	CDS	561	cobN_2	6.6.1.2		Aerobic cobaltochelatase subunit CobN
prokka_05941	CDS	735				hypothetical protein
prokka_05942	CDS	960	qacA_7		COG0477	Antiseptic resistance protein
prokka_05943	CDS	276				hypothetical protein
prokka_05944	CDS	1239				hypothetical protein
prokka_05945	CDS	1101				hypothetical protein
prokka_05946	CDS	1092	ftsQ_21			Cell division protein FtsQ
prokka_05947	CDS	954	ddlB_36	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
prokka_05948	CDS	903				hypothetical protein
prokka_05949	CDS	810	drrB_22			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
prokka_05950	CDS	960	drrA_25	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
prokka_05951	tRNA	76				tRNA-Trp(cca)
prokka_05952	CDS	921	thyA_141	2.1.1.45	COG0207	Thymidylate synthase
prokka_05953	CDS	438	dfrA_73	1.5.1.3	COG0262	Dihydrofolate reductase
